# Canto 10 — The Encounter with Farinata and the Shadows of Dis

## Scene 1-9: Dante’s Inquiry
- 10:4 lines 4-5 | speaker: Dante | addressee: Virgilio | source: code | basis: 4-5

## Scene 10-18: The Epicurean’s Reply
- 10:10 lines 10-18 | speaker: Eretico | addressee: Dante | source: code | basis: 10-18

## Scene 19-27: Virgil’s Admonition
- 10:19 lines 19-21 | speaker: Dante | addressee: Virgilio | source: code | basis: 19-21
- 10:22 lines 22-27 | speaker: l'anima epicurea | addressee: Dante | source: llm | basis: 22-23

## Scene 28-33: The Voice from the Tomb
# (no attributed speech in this scene)

## Scene 34-39: The Defiance of Farinata
# (no attributed speech in this scene)

## Scene 40-48: Farinata’s Inquiry
- 10:46 lines 46-48 | speaker: Farinata | addressee: Dante | source: code | basis: 46-48

## Scene 49-51: Dante’s Rebuttal
# (no attributed speech in this scene)

## Scene 52-60: The Emergence of the Shadow
# (no attributed speech in this scene)

## Scene 61-66: The Reference to Guido
- 10:61 lines 61-63 | speaker: Dante | addressee: Virgilio | source: code | basis: 61-63

## Scene 67-72: The Shadow’s Grief
# (no attributed speech in this scene)

## Scene 73-84: Farinata’s Question on Impiety
- 10:77B lines 77-84 | speaker: Farinata | addressee: Dante | source: code | basis: 77-84

## Scene 85-87: The Metaphor of the Arbia
# (no attributed speech in this scene)

## Scene 88-93: Farinata’s Lament for Florence
- 10:89A lines 89-89 | speaker: Farinata | addressee: (none) | source: none | basis: 89-89
- 10:89B lines 89-93 | speaker: Farinata | addressee: (none) | source: none | basis: 89-93

## Scene 94-99: Dante’s Request for Prophecy
- 10:95 lines 95-99 | speaker: Dante | addressee: Farinata | source: code | basis: 95-99

## Scene 100-108: The Limitation of Hell’s Vision
# (no attributed speech in this scene)

## Scene 109-114: Dante’s Apology
- 10:110 lines 110-114 | speaker: Dante | addressee: Farinata | source: code | basis: 110-114

## Scene 115-120: Virgil’s List of Souls
- 10:118 lines 118-120 | speaker: Farinata | addressee: Dante | source: llm | basis: 118-120

## Scene 121-126: Virgil’s Question to Dante
# (no attributed speech in this scene)

## Scene 127-132: The Command regarding Beatrice
# (no attributed speech in this scene)

## Scene 133-136: Departure into the Valley
# (no attributed speech in this scene)
