# Canto 10 — The Encounter with Farinata and the Shadows of Dis

## Scene 1-9: Dante’s Inquiry
- it: secreto calle | en: a secret path | basis: 1-2

## Scene 10-18: The Epicurean’s Reply
- it: - | en: ruins and high walls | basis: 10-18

## Scene 19-27: Virgil’s Admonition
- it: - | en: ruins and high walls | basis: 19-27

## Scene 28-33: The Voice from the Tomb
- it: - | en: ruins and high walls | basis: 28-33

## Scene 34-39: The Defiance of Farinata
- it: le sepulture | en: the tombs | basis: 38-38

## Scene 40-48: Farinata’s Inquiry
- it: piè de la sua tomba | en: foot of his tomb | basis: 40-40

## Scene 49-51: Dante’s Rebuttal
- it: - | en: foot of his tomb | basis: 49-51

## Scene 52-60: The Emergence of the Shadow
- it: - | en: foot of his tomb | basis: 52-60

## Scene 61-66: The Reference to Guido
- it: - | en: foot of his tomb | basis: 61-66

## Scene 67-72: The Shadow’s Grief
- it: - | en: foot of his tomb | basis: 67-72

## Scene 73-84: Farinata’s Question on Impiety
- it: - | en: foot of his tomb | basis: 73-84

## Scene 85-87: The Metaphor of the Arbia
- it: - | en: foot of his tomb | basis: 85-87

## Scene 88-93: Farinata’s Lament for Florence
- it: - | en: foot of his tomb | basis: 88-93

## Scene 94-99: Dante’s Request for Prophecy
- it: - | en: foot of his tomb | basis: 94-99

## Scene 100-108: The Limitation of Hell’s Vision
- it: - | en: foot of his tomb | basis: 100-108

## Scene 109-114: Dante’s Apology
- it: - | en: foot of his tomb | basis: 109-114

## Scene 115-120: Virgil’s List of Souls
- it: - | en: foot of his tomb | basis: 115-120

## Scene 121-126: Virgil’s Question to Dante
- it: - | en: foot of his tomb | basis: 121-126

## Scene 127-132: The Command regarding Beatrice
- it: - | en: foot of his tomb | basis: 127-132

## Scene 133-136: Departure into the Valley
- it: - | en: foot of his tomb | basis: 133-134
- it: un sentier | en: a path | basis: 135-136

# recap
Final setting: a path (un sentier)
