# Canto 10 — The Encounter with Farinata and the Shadows of Dis

## Scene 1-9: Dante’s Inquiry
- who: Virgilio | status: present | basis: 1-3
- who: Dante | status: present | basis: 3-6
- who: li empi | status: mentioned | basis: 4-4

## Scene 10-18: The Epicurean’s Reply
- who: Eretici | status: present | basis: 10-18
- who: Dante | status: present | basis: 10-18
- who: Epicuro | status: mentioned | basis: 14-14
- who: tutti suoi seguaci | status: mentioned | basis: 14-15
- who: Eretico | status: mentioned | basis: 14-14

## Scene 19-27: Virgil’s Admonition
- who: Dante | status: present | basis: 19-27
- who: Virgilio | status: present | basis: 19-27
- who: l'anima epicurea | status: mentioned | basis: 24-24

## Scene 28-33: The Voice from the Tomb
- who: Dante | status: present | basis: 29-31
- who: Virgilio | status: present | basis: 30-31
- who: Farinata | status: present | basis: 32-33

## Scene 34-39: The Defiance of Farinata
- who: Dante | status: present | basis: 34-38
- who: Farinata | status: present | basis: 34-38
- who: Virgilio | status: present | basis: 37-39

## Scene 40-48: Farinata’s Inquiry
- who: Dante | status: present | basis: 40-44
- who: Farinata | status: present | basis: 40-48
- who: li maggior | status: mentioned | basis: 42-48
- who: primi | status: mentioned | basis: 47-47

## Scene 49-51: Dante’s Rebuttal
- who: Guelfi | status: mentioned | basis: 49-50
- who: Dante | status: present | basis: 50-50
- who: Farinata | status: present | basis: 50-50
- who: Ghibellini | status: mentioned | basis: 51-51

## Scene 52-60: The Emergence of the Shadow
- who: un'ombra | status: present | basis: 53-58
- who: Dante | status: present | basis: 54-60
- who: Cavalcante della Scala | status: mentioned | basis: 60-60

## Scene 61-66: The Reference to Guido
- who: Dante | status: present | basis: 61-66
- who: il padre di Cavalcante della Scala | status: present | basis: 61-66
- who: Virgilio | status: present | basis: 62-63
- who: Guido da Montefeltro | status: mentioned | basis: 63-63

## Scene 67-72: The Shadow’s Grief
- who: l'ombra | status: present | basis: 67-72
- who: Dante | status: present | basis: 68-71
- who: Cavalcante della Scala | status: present | basis: 67-72

## Scene 73-84: Farinata’s Question on Impiety
- who: Farinata | status: present | basis: 73-84
- who: Dante | status: present | basis: 74-83
- who: Guelfi | status: mentioned | basis: 83-83
- who: la donna | status: mentioned | basis: 80-80

## Scene 85-87: The Metaphor of the Arbia
- who: Dante | status: present | basis: 85-85
- who: Farinata | status: present | basis: 85-85

## Scene 88-93: Farinata’s Lament for Florence
- who: Farinata | status: present | basis: 88-93

## Scene 94-99: Dante’s Request for Prophecy
- who: vostra semenza | status: mentioned | basis: 94-94
- who: Dante | status: present | basis: 95-95
- who: Farinata | status: present | basis: 95-97

## Scene 100-108: The Limitation of Hell’s Vision
- who: Farinata, le anime dell'Inferno | status: present | basis: 100-107
- who: quei c'ha mala luce | status: mentioned | basis: 100-100
- who: Farinata | status: present | basis: 101-101
- who: il sommo duce | status: mentioned | basis: 102-102
- who: Dante | status: present | basis: 105-106

## Scene 109-114: Dante’s Apology
- who: Dante | status: present | basis: 109-114
- who: Farinata | status: present | basis: 110-114
- who: quel caduto | status: mentioned | basis: 110-110
- who: Cavalcante della Scala | status: mentioned | basis: 111-111
- who: vivi | status: mentioned | basis: 111-111

## Scene 115-120: Virgil’s List of Souls
- who: Virgilio | status: present | basis: 115-115
- who: Dante | status: present | basis: 115-116
- who: Farinata | status: present | basis: 116-118
- who: Eretici | status: mentioned | basis: 118-118
- who: Federico II | status: mentioned | basis: 119-119
- who: il Cardinale | status: mentioned | basis: 120-120

## Scene 121-126: Virgil’s Question to Dante
- who: Farinata | status: present | basis: 121-121
- who: Dante | status: present | basis: 121-126
- who: Virgilio | status: present | basis: 121-126

## Scene 127-132: The Command regarding Beatrice
- who: Dante | status: present | basis: 128-128
- who: Virgilio | status: present | basis: 127-132
- who: Beatrice | status: mentioned | basis: 131-132

## Scene 133-136: Departure into the Valley
- who: Virgilio | status: present | basis: 133-134
- who: Dante | status: present | basis: 134-134
