# Canto 07 — Beatrice's Theological Discourse on the Incarnation and Redemption

## Scene 1-3: The Celestial Hymn
- it: malacòth | en: the highest heaven | basis: 3-3

## Scene 4-9: Movement of the Lights
- it: - | en: the highest heaven (malacòth) | basis: 4-9

## Scene 10-15: Dante's Awe
- it: - | en: that heaven | basis: 10-15

## Scene 16-24: Beatrice's Promise
- it: - | en: that heaven | basis: 16-24

## Scene 25-39: The Fall of Man
- it: - | en: that heaven | basis: 25-39

## Scene 40-48: The Justice of the Cross
- it: - | en: that heaven | basis: 40-48

## Scene 49-54: Dante's Lingering Doubt
- it: - | en: that heaven | basis: 49-54

## Scene 55-63: The Hidden Decree
- it: - | en: that heaven | basis: 55-63

## Scene 64-75: The Radiance of Divine Goodness
- it: - | en: that heaven | basis: 64-75

## Scene 76-84: The Impact of Sin
- it: - | en: that heaven | basis: 76-84

## Scene 85-93: The Necessity of a Way Back
- it: - | en: that heaven | basis: 85-93

## Scene 94-102: The Limits of Human Effort
- it: - | en: that heaven | basis: 94-102

## Scene 103-114: The Beauty of God's Plan
- it: - | en: that heaven | basis: 103-114

## Scene 115-120: The Majesty of the Incarnation
- it: - | en: that heaven | basis: 115-120

## Scene 121-123: Redirecting the Vision
- it: - | en: that heaven | basis: 121-123

## Scene 124-129: Dante's Observation of Decay
- it: - | en: that heaven | basis: 124-129

## Scene 130-138: The Hierarchy of Creation
- it: 'l paese sincero | en: the sincere realm | basis: 130-131

## Scene 139-144: The Animation of the Soul
- it: - | en: the sincere realm | basis: 139-144

## Scene 145-148: The Argument for Resurrection
- it: - | en: the sincere realm | basis: 145-148

# recap
Final setting: the sincere realm
